open,write,read,close
112.657,5.18,0.79,11.74
111.397,5.17,0.78,11.62
110.827,5.13,0.79,11.67
111.387,5.25,0.8,11.75
111.787,5.27,0.79,11.699
111.168,5.3,0.78,11.779
113.578,5.85,0.83,12.129
112.208,5.219,0.79,11.68
148.296,8.38,2.26,16.24
131.057,5.63,0.82,12.549
116.418,5.269,0.78,11.76
121.757,5.25,0.74,11.71
114.437,5.16,0.76,11.81
134.616,9.86,0.95,15.3
140.827,5.899,0.86,12.81
133.697,5.32,0.81,11.779
114.138,5.32,0.77,11.619
114.028,5.159,0.77,11.61
112.887,5.27,0.8,11.86
113.747,5.21,0.8,11.65
119.947,5.36,0.78,11.9
113.647,5.3,0.8,12.059
113.118,5.45,0.8,11.639
113.918,5.16,0.8,11.689
113.718,5.419,2.07,13.1
113.827,5.26,0.81,11.59
113.457,5.17,0.81,11.79
114.107,5.28,0.78,11.86
113.697,5.32,0.79,11.69
113.438,5.27,0.79,11.759
114.038,5.26,0.79,11.629
116.207,5.17,0.79,11.69
113.497,5.2,0.73,11.87
113.237,5.24,0.8,11.64
126.297,5.69,0.81,11.989
119.548,6.179,0.9,13.3
118.487,6.07,0.88,12.97
123.047,5.24,0.77,11.859
126.337,5.25,0.81,18.56
117.647,5.43,0.79,11.73
115.218,5.15,0.77,11.829
114.408,5.14,0.809,11.57
112.898,5.149,0.81,11.75
113.847,5.27,0.79,11.7
113.917,5.19,0.81,11.65
114.027,5.23,0.8,11.7
120.297,5.28,0.81,11.759
114.458,5.19,0.77,11.569
119.467,5.06,0.83,11.66
113.517,5.17,0.8,11.67
113.387,5.21,0.79,11.63
112.817,5.29,0.8,11.54
112.787,5.33,0.77,11.65
113.217,5.2,0.77,11.849
113.368,5.21,0.81,11.729
112.578,5.24,0.799,11.63
113.318,5.179,0.77,11.65
113.567,5.15,0.77,11.66
114.087,5.17,0.8,11.64
114.077,5.27,0.81,11.59
123.257,5.71,0.78,12.039
100.908,5.34,0.79,11.64
115.758,5.2,0.78,11.699
113.578,5.209,0.77,11.76
115.777,5.23,0.8,11.79
113.487,5.28,0.79,11.58
114.887,5.12,0.78,11.51
115.617,5.24,0.83,12.01
114.717,5.64,0.79,11.749
114.688,5.2,0.8,11.689
114.198,5.199,0.78,11.78
116.087,5.28,0.81,11.68
113.757,5.17,0.8,11.73
113.897,5.22,0.8,11.57
116.497,5.25,0.81,11.639
114.178,5.29,0.81,11.649
120.607,5.29,0.8,11.82
114.027,5.17,0.77,11.82
116.707,5.21,0.83,11.7
113.257,5.23,0.8,11.65
123.707,6.359,1.75,12.06
123.057,5.21,0.78,11.76
114.987,5.4,0.84,11.77
160.366,6.12,0.91,16.599
134.117,5.93,0.86,12.85
