open_us,write_us,read_us,close_us
480,22,9,36
482,21,9,35
538,21,8,33
530,23,9,34
483,23,9,40
501,27,9,55
501,22,9,37
443,14,6,25
465,23,9,37
505,25,10,43
398,27,7,26
471,26,10,41
531,12,6,23
459,26,9,45
640,15,7,25
462,26,9,43
529,22,9,35
479,24,9,40
465,21,8,40
545,55,7,25
433,17,7,28
473,29,9,45
550,22,9,36
469,15,23,24
478,25,9,50
524,26,5,24
470,23,9,38
459,14,6,22
431,28,14,37
430,22,9,38
445,21,9,35
569,21,8,33
503,18,8,32
561,25,10,37
537,22,9,34
502,13,5,23
472,26,9,38
547,11,5,22
450,11,5,20
461,26,10,39
550,22,9,33
530,23,24,33
555,24,10,41
417,16,6,25
470,25,9,58
531,22,9,35
486,21,9,39
541,22,10,34
492,22,9,37
445,15,6,23
472,25,9,39
544,22,9,33
530,21,9,36
497,26,10,37
480,22,10,36
437,22,9,40
565,21,9,33
498,23,9,36
453,22,9,37
468,21,9,36
488,21,8,35
428,14,6,24
469,26,9,39
539,21,9,33
475,36,8,39
528,22,10,33
488,13,5,22
459,25,9,38
539,26,8,34
489,21,9,39
506,13,6,23
402,14,6,25
453,25,10,45
536,12,5,22
463,23,9,43
437,30,9,36
555,22,9,43
476,23,10,34
516,16,8,28
452,22,9,38
569,22,10,36
435,16,7,25
460,26,14,43
541,13,6,35
443,31,10,42
523,15,6,22
469,23,10,41
418,14,6,23
462,25,10,41
531,21,9,33
495,23,9,42
460,21,8,35
449,24,9,35
456,22,9,35
560,21,9,32
471,23,9,34
477,22,9,36
481,21,8,39
518,21,8,37
395,55,14,29
465,23,8,38
455,22,8,46
412,15,7,25
479,40,10,38
559,22,9,34
477,21,8,39
550,22,9,33
532,22,9,35
417,15,7,25
459,11,5,21
456,30,9,45
540,22,9,37
441,22,9,35
452,19,7,23
510,11,5,20
455,23,9,44
449,13,5,23
441,10,5,21
460,27,10,43
535,21,9,39
551,22,9,33
483,22,9,35
479,22,8,53
537,22,9,39
438,26,9,36
541,21,9,39
461,21,9,33
592,19,8,29
465,26,9,40
384,42,6,25
456,26,9,43
538,22,13,33
544,21,9,32
499,21,8,38
447,23,9,42
466,27,9,35
420,21,9,35
436,20,8,36
574,21,9,32
540,22,9,35
467,22,9,39
541,16,7,27
461,43,10,41
455,24,9,41
543,18,5,25
449,23,9,40
408,14,6,24
451,10,4,21
475,23,9,35
548,23,9,38
546,23,9,40
447,21,9,40
448,16,7,24
465,29,10,40
533,22,9,37
535,22,12,43
482,22,8,37
445,21,8,36
559,22,9,33
484,26,8,35
439,22,8,36
480,22,8,50
544,71,9,38
476,25,8,33
537,24,10,33
445,23,9,34
475,29,9,49
542,16,6,28
443,27,8,56
413,24,9,38
458,21,9,35
460,22,8,37
500,25,9,35
484,22,9,40
546,19,9,29
470,24,9,40
535,21,9,35
491,27,9,36
459,21,9,36
548,21,10,32
533,22,13,33
489,34,9,34
557,26,8,35
530,41,7,28
501,25,10,49
533,13,6,24
458,11,5,22
478,26,10,50
525,11,5,22
451,26,9,43
542,11,5,21
431,11,8,22
435,26,9,41
448,23,10,41
474,21,9,35
554,26,9,32
560,22,9,32
473,21,9,34
469,25,9,35
563,24,9,35
445,23,9,48
446,22,9,41
567,22,9,39
416,24,7,27
460,22,9,36
546,22,9,40
407,16,7,24
459,25,10,39
527,26,9,34
488,24,8,34
550,21,9,39
439,21,9,35
562,25,12,37
449,18,7,29
476,25,10,38
557,13,5,24
467,26,10,47
533,22,9,36
472,13,6,22
455,26,9,38
544,39,9,33
483,22,10,34
492,24,9,34
448,21,9,35
544,21,9,35
510,23,10,41
462,15,6,27
463,23,10,42
438,24,8,42
453,22,8,36
560,21,9,34
472,26,8,35
475,22,8,35
446,22,9,35
473,22,9,42
517,24,9,36
396,17,8,26
453,23,9,37
449,21,8,36
563,22,9,49
560,22,10,44
458,22,9,45
436,16,7,26
453,25,9,45
546,22,9,34
469,14,7,23
459,26,9,39
546,15,5,23
482,23,9,38
481,27,9,38
455,22,9,39
545,21,8,34
516,18,7,31
497,23,9,38
446,23,10,40
556,21,9,35
473,22,9,35
454,22,10,36
544,22,9,34
442,34,9,35
565,21,8,33
485,18,7,25
466,13,5,22
461,11,6,20
443,31,10,40
459,23,9,35
443,21,8,35
549,22,8,33
512,15,6,23
469,18,9,33
458,22,10,39
512,21,8,38
477,23,13,34
481,22,10,44
490,23,9,45
419,24,9,40
425,22,8,36
426,27,8,37
479,21,9,49
440,22,8,37
456,22,8,39
442,21,8,35
472,22,8,34
430,25,9,40
469,22,9,35
451,22,9,35
454,22,9,34
471,22,9,35
452,27,8,35
446,22,9,42
458,23,9,48
499,22,9,54
425,19,8,48
472,21,8,41
459,21,8,36
546,16,7,41
468,22,9,47
449,25,9,39
482,37,9,40
448,18,8,31
419,23,9,40
419,22,9,50
437,22,9,38
459,22,9,35
452,21,8,35
455,69,9,34
418,24,9,35
466,22,8,52
428,21,9,31
490,22,9,46
454,23,9,35
456,24,9,36
453,24,8,36
448,24,8,36
459,22,9,35
466,22,9,35
450,28,10,37
431,23,9,48
414,33,9,35
445,27,9,34
458,22,9,42
459,21,8,36
460,22,8,35
450,21,8,49
495,25,9,47
465,31,9,34
438,23,9,50
446,22,8,42
452,26,9,33
513,24,29,33
453,23,18,47
431,23,9,46
459,22,9,43
450,22,8,39
465,23,10,36
457,22,9,36
451,27,9,35
421,37,9,41
443,22,9,36
463,21,9,52
496,22,8,35
468,23,9,43
459,22,8,39
454,24,8,37
446,23,10,53
454,20,8,47
448,23,9,41
446,22,8,44
438,23,9,40
466,22,9,41
449,21,9,36
445,26,8,35
407,15,8,26
431,25,9,35
457,23,8,36
452,27,9,51
472,25,10,47
459,28,8,42
437,21,9,37
494,16,14,27
443,22,10,56
396,23,9,35
447,23,10,40
410,18,8,28
413,26,13,43
427,29,9,34
422,22,8,36
465,21,9,35
421,55,8,36
473,27,10,36
443,27,9,34
438,22,9,37
446,22,9,35
