Run,Open,Write,Read,Close
177,173.300,233.800,13.300,239.500
178,405.200,348.900,46.100,1078.200
179,523.200,1789.400,17.400,193.300
180,250.400,286.800,14.100,1054.700
181,295.600,579.700,18.900,395.500
182,299.100,158.600,13.500,188.500
183,228.600,84.000,8.400,139.700
184,371.300,166.600,19.100,401.600
185,285.100,151.300,17.800,211.100
186,225.600,133.100,15.900,268.800
187,267.600,130.000,16.300,305.800
188,393.100,158.700,17.800,212.200
189,230.100,133.200,16.900,195.700
190,316.000,193.100,12.800,163.300
191,201.300,98.400,10.800,507.800
192,398.600,203.800,20.800,412.200
193,547.500,137.800,57.500,368.200
194,426.900,198.900,15.400,189.200
195,385.200,164.400,18.300,333.200
196,255.700,142.400,17.700,209.700
197,219.700,247.900,22.700,238.200
198,307.900,195.100,31.700,461.600
199,319.100,215.700,19.700,238.700
200,249.100,148.900,21.700,192.400
201,216.600,172.800,17.000,197.700
202,482.200,269.700,16.800,342.200
203,251.300,137.200,16.200,196.000
204,219.400,153.800,73.800,275.500
205,318.000,174.900,49.900,340.000
206,394.100,168.200,17.600,198.600
207,233.100,128.300,14.300,297.900
208,230.700,129.700,15.600,189.500
209,236.600,227.200,18.700,216.700
210,260.800,132.100,16.800,289.100
211,228.100,127.000,16.400,305.900
212,225.500,104.000,11.700,144.000
213,169.900,80.900,9.000,167.700
214,201.100,85.700,8.700,133.200
215,306.100,182.000,19.700,233.300
216,283.200,140.600,18.600,212.600
217,252.500,259.800,27.000,216.500
218,250.200,198.500,20.100,240.200
219,243.900,138.800,17.000,376.000
220,323.500,146.400,16.500,200.300
221,221.600,206.600,17.300,279.900
222,232.300,134.100,16.000,310.900
223,237.700,131.000,16.200,212.900
224,218.100,200.000,18.800,337.800
225,333.600,180.400,17.400,375.900
226,365.800,210.000,16.300,456.500
227,302.500,189.000,12.600,155.400
228,181.800,87.400,9.500,131.400
229,145.300,78.900,9.300,119.800
230,145.100,78.600,8.900,185.400
231,319.200,180.500,22.500,259.700
232,262.800,146.800,19.500,277.900
233,227.000,188.500,15.700,167.400
234,300.000,123.700,37.100,199.300
235,188.400,91.600,12.300,307.400
236,348.400,127.300,12.100,265.800
237,426.500,115.700,12.000,291.900
238,479.900,200.800,19.300,317.600
239,328.900,145.000,18.000,264.600
240,244.400,135.800,17.600,226.600
241,317.000,134.500,17.700,367.400
242,275.700,156.500,20.600,209.900
243,221.600,317.600,22.200,374.200
244,228.800,324.500,49.500,252.100
245,226.200,184.500,17.200,197.100
246,219.700,121.300,14.900,329.800
247,248.900,136.400,17.700,205.000
248,216.100,132.800,16.200,193.300
249,225.600,244.900,26.200,361.500
250,374.000,264.000,68.400,398.900
251,309.400,356.300,22.600,280.600
252,327.000,141.800,16.700,321.900
253,266.100,207.500,18.600,170.300
254,243.400,184.000,21.200,320.700
255,289.900,289.000,78.700,295.700
256,275.500,186.400,19.400,329.300
257,321.100,168.300,19.700,239.300
258,246.000,284.100,25.300,297.200
259,245.200,124.000,16.600,169.900
260,204.100,97.300,8.700,193.600
261,176.700,86.700,9.300,129.500
262,302.300,105.800,10.300,132.500
263,137.100,75.800,8.800,205.800
264,150.400,97.100,15.200,193.700
265,129.300,78.900,8.600,113.400
266,191.800,102.900,11.400,109.700
267,217.000,127.400,9.700,148.200
